word_length,total_time,count,average_time
5,272.93026995658875,29,9.411388619192715
8,84.29716539382935,6,14.049527565638224
6,179.1663680076599,19,9.429808842508416
4,351.8657531738281,27,13.032064932364005
3,136.40449714660645,19,7.1791840603477075
7,214.79944562911987,9,23.866605069902207
9,72.02347540855408,7,10.289067915507726
10,50.9726345539093,5,10.19452691078186
11,39.7663357257843,2,19.88316786289215
15,15.410810947418213,1,15.410810947418213
12,32.28327393531799,2,16.141636967658997
